git_repo,total_commits,last_commit_before_months,avg_commits_per_day,git_unique_contributors,forks,stars,open_PRs,merged_PRs,open_issues,resolved_issues,version_release_frequency_months,version_release_frequency_years,LOC,total_lines_added,total_lines_deleted,lines_added_one_and_half_year,lines_deleted_one_and_half_year,readme_updated,sloc_javascript,sloc_typescript,cyclomatic_complexity
https://github.com/mhtkar/paginator,13,31.61,0.03,3,0,0,0,0,0,0,0.0,0.0,36,143,10,0,0,False,30.0,7.0,9.0
https://github.com/gutomaia/nodeNES,458,91.08,0.3,4,17,146,1,7,19,12,0.0,0.0,13715,28102,17236,0,0,False,2035.0,0.0,20.0
https://github.com/fabioricali/cryptor,50,41.66,0.04,1,0,19,0,0,0,2,0.77,9.34,208,2206,1545,0,0,False,302.0,0.0,9.0
https://github.com/schneidmaster/coffee-relay,1,91.93,1.0,1,0,2,0,0,0,0,0.0,0.0,14,1864,0,0,0,False,1514.0,0.0,16.0
https://github.com/Aredack/mailparser2,281,68.67,0.1,43,0,2,0,0,0,0,0.81,9.84,4757,81831,64647,0,0,False,1068.0,0.0,276.0
https://github.com/laravel/precognition,225,0.96,0.44,10,24,96,3,25,2,37,1.59,19.37,194,8857,4700,8857,4700,True,20.0,1146.0,12.0
https://github.com/raccaricardo/nuxt-lara-login-vm,9,5.01,1.8,1,0,0,0,0,0,0,0.0,0.0,0,15868,15,15868,15,True,0.0,293.0,18.0
https://github.com/johnvmt/adjustable-image,11,52.41,0.01,1,0,1,0,0,0,0,0.16,1.92,194,1371,1056,0,0,False,151.0,0.0,17.0
https://github.com/appium/appium-uiautomator,72,66.11,0.04,9,14,17,0,11,0,4,0.21,2.54,139,14110,13694,0,0,False,100.0,0.0,19.0
https://github.com/LoveKino/kabanery-table,19,80.8,0.06,1,0,0,0,0,0,0,0.0,0.0,74,233,68,0,0,False,52.0,0.0,4.0
https://github.com/zilingxingzi/crox-gulp,4,77.44,0.06,1,0,0,0,0,0,0,0.0,0.0,158,335,21,0,0,False,126.0,0.0,15.0
https://github.com/brunocamposal/capstone-lib,38,40.92,6.33,8,2,0,0,15,0,0,0.0,0.0,4,55607,1372,0,0,False,3.0,359.0,18.0
https://github.com/apertureless/vue-chartjs,828,0.77,0.3,105,817,5400,10,411,16,629,0.86,10.43,81706,262540,237192,14587,21883,True,140.0,1127.0,18.0
https://github.com/dominickp/antfarm,459,87.5,0.9,3,4,10,0,5,1,1,0.0,0.0,12785,182376,138753,0,0,False,3107.0,3222.0,16.0
https://github.com/marcqualie/ecsx,117,13.6,0.19,4,4,7,4,62,19,12,1.09,13.29,0,12932,6086,3434,3054,True,0.0,1199.0,16.0
https://github.com/RealTimeCom/rpc-json,48,72.77,0.13,2,0,0,0,0,0,0,0.0,0.0,152,1199,744,0,0,False,142.0,0.0,14.0
https://github.com/spicket/mothership-client-nodejs,34,26.59,0.03,6,1,0,0,17,1,0,0.13,1.59,111,10451,9850,0,0,False,209.0,0.0,28.0
https://github.com/mylesgray/homebridge-winpc-mg,22,71.04,0.03,2,0,1,0,1,0,0,0.0,0.0,302,730,293,0,0,False,260.0,0.0,19.0
https://github.com/lauradauzat/simple-modal-hrnet,12,6.5,0.24,1,0,0,0,0,0,0,0.0,0.0,77,21817,85,21817,85,True,69.0,0.0,4.0
https://github.com/npm/security-holder,13,28.59,0.01,6,56,147,3,9,0,0,0.0,0.0,0,39,30,0,0,False,,,
https://github.com/demurgos/kryo,272,1.04,0.09,4,1,0,1,90,0,18,0.38,4.65,1553,166168,146951,7458,6187,False,0.0,5087.0,18.0
https://github.com/tencentcloud/tencentcloud-sdk-nodejs,1182,0.06,0.56,28,130,341,4,65,10,67,15.19,184.85,738011,4689249,2407811,1751878,1061213,True,,,
https://github.com/fiscalobject/ufocore-p2p,286,68.48,0.16,21,0,0,0,0,0,0,0.0,0.0,3698,12159,7430,0,0,False,3177.0,0.0,228.0
https://github.com/minum/dashboard,56,130.04,0.78,1,1,13,0,0,0,0,0.0,0.0,6824,16972,2833,0,0,False,230.0,0.0,20.0
https://github.com/nutgaard/react-router-breadcrumbs,181,70.17,0.23,8,12,46,18,269,3,16,0.69,8.34,852,23392,2533,0,0,False,743.0,0.0,26.0
https://github.com/realmee/cordova-plugin-stripe-alipay,26,48.54,3.25,1,1,0,0,0,0,0,0.0,0.0,31274,159264,158377,0,0,False,13.0,0.0,1.0
https://github.com/tuannguyen7326/css-parser-ts,10,12.82,0.71,1,0,1,0,0,0,0,0.0,0.0,0,5162,2760,5162,2760,True,17.0,886.0,15.0
https://github.com/fabiomedinamedina/fmm-product-card,3,5.27,1.0,1,0,0,0,0,0,0,0.0,0.0,13,10207,64,10207,64,True,39.0,261.0,19.0
https://github.com/smartfile/node-cluster-harakiri,38,16.97,1.9,3,0,0,0,10,0,4,16.15,196.54,122,10237,152,10237,152,True,112.0,0.0,46.0
