Package,Latest Version,License,Health Score,Security Recommendation,Popularity,Maintainence,Community,GitHub Stars,Forks,Contributors,Last Release,Last Commit,Readme File,Age,Dependencies,Versions,Install Size,# of Files,Maintainers,TS Typings,critical_vul_count,high_vul_count,medium_vul_count,low_vul_count
--ignore-scripts,2 years ago,MIT,40,No known security issues,Limited,Inactive,Limited,?,?,-,2 years ago,unknown,No,2 years,0 Direct,2,144 B,2,1,No,0,0,0,0
--ignore-workspace-root-check,2 years ago,MIT,40,No known security issues,Limited,Inactive,Limited,?,?,-,2 years ago,unknown,No,2 years,0 Direct,2,157 B,2,1,No,,,,
