package_name,Jan 23,Feb 23,Mar 23,Apr 23,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24
lofter2hexo,22.0,12.0,16.0,16.0,4.0,7.0,13.0,11.0,9.0,18.0,15.0,17.0,7.0,4.0
string-io,12.0,7.0,18.0,10.0,3.0,10.0,14.0,7.0,6.0,16.0,10.0,10.0,7.0,2.0
dash-ast,8459306.0,8517501.0,9593331.0,8301804.0,9222894.0,9083984.0,9023987.0,9630738.0,8416169.0,8554722.0,7689758.0,6503399.0,7903202.0,5792884.0
daydream-ui,8.0,4.0,5.0,5.0,3.0,5.0,8.0,5.0,3.0,10.0,9.0,3.0,5.0,4.0
builtin-elements,47.0,62.0,83.0,80.0,10.0,13.0,53.0,45.0,58.0,258.0,27.0,37.0,697.0,388.0
react-native-realtimestorage-android,12.0,18.0,20.0,13.0,3.0,8.0,20.0,14.0,15.0,45.0,23.0,9.0,8.0,2.0
react-native-xloading,8.0,6.0,4.0,5.0,4.0,5.0,9.0,5.0,7.0,7.0,8.0,4.0,3.0,1.0
cesium-offline,6.0,15.0,7.0,7.0,7.0,8.0,9.0,2.0,6.0,18.0,8.0,6.0,44.0,30.0
react-medixtor,190.0,146.0,169.0,143.0,343.0,530.0,514.0,498.0,727.0,497.0,362.0,435.0,416.0,267.0
rollup-plugin-strip-code,3345.0,4976.0,5389.0,4176.0,3916.0,4085.0,3564.0,3949.0,4388.0,5629.0,3335.0,2597.0,3301.0,2397.0
ghost-gcp-storage,17.0,13.0,12.0,12.0,10.0,26.0,13.0,6.0,6.0,19.0,16.0,7.0,14.0,2.0
fakey-json,14.0,8.0,9.0,9.0,4.0,6.0,13.0,24.0,2.0,14.0,12.0,9.0,4.0,4.0
create-wp-theme-auditor,11.0,5.0,9.0,9.0,5.0,7.0,6.0,4.0,4.0,26.0,10.0,2.0,4.0,2.0
cra-template-ts-blue,33.0,22.0,23.0,28.0,15.0,20.0,12.0,10.0,11.0,68.0,18.0,2.0,12.0,2.0
theater-ts,33.0,18.0,15.0,17.0,4.0,18.0,12.0,2.0,9.0,33.0,17.0,3.0,17.0,3.0
countries-3166,36.0,22.0,59.0,40.0,32.0,30.0,44.0,33.0,40.0,121.0,36.0,16.0,16.0,4.0
glee-jwks-rsa,23502.0,26767.0,18689.0,10064.0,6294.0,5314.0,8515.0,6319.0,5001.0,3442.0,2097.0,452.0,372.0,513.0
ngx-image-box,12.0,15.0,8.0,7.0,4.0,5.0,5.0,6.0,1.0,5.0,6.0,5.0,11.0,3.0
codecheck-type-coverage,19.0,10.0,25.0,23.0,8.0,14.0,20.0,20.0,12.0,104.0,15.0,3.0,15.0,2.0
auto-mono-repo,12.0,10.0,12.0,12.0,3.0,11.0,12.0,108.0,8.0,62.0,11.0,12.0,8.0,5.0
esbuild-plugin-babel-cached,9713.0,12433.0,16908.0,12137.0,10665.0,16253.0,9882.0,16112.0,11414.0,20515.0,24099.0,19749.0,25720.0,12473.0
bacontrap,31.0,26.0,18.0,16.0,9.0,15.0,17.0,30.0,33.0,79.0,12.0,11.0,8.0,12.0
me40321-database,74.0,91.0,177.0,131.0,9.0,187.0,79.0,39.0,1.0,127.0,78.0,9.0,44.0,2.0
commitr,48.0,12.0,57.0,36.0,18.0,15.0,35.0,24.0,32.0,195.0,27.0,10.0,23.0,3.0
mpssserver-client,46.0,14.0,27.0,33.0,12.0,16.0,21.0,13.0,8.0,34.0,26.0,6.0,18.0,1.0
jston,16.0,17.0,15.0,13.0,8.0,7.0,16.0,7.0,1.0,23.0,17.0,3.0,8.0,3.0
react-fetch-hooks,71.0,64.0,78.0,43.0,45.0,27.0,38.0,22.0,5.0,50.0,36.0,11.0,25.0,5.0
number-in-memory,5.0,7.0,4.0,6.0,4.0,5.0,4.0,8.0,6.0,7.0,5.0,4.0,5.0,4.0
gulp-xhtml,21.0,6.0,22.0,13.0,9.0,14.0,17.0,16.0,10.0,27.0,18.0,14.0,27.0,7.0
wand-js,8.0,7.0,5.0,7.0,4.0,7.0,7.0,5.0,4.0,10.0,8.0,3.0,7.0,1.0
psql-query-template,16.0,10.0,13.0,19.0,5.0,4.0,21.0,9.0,2.0,21.0,16.0,2.0,9.0,1.0
pixel-stream,2153.0,3203.0,5818.0,5078.0,6137.0,5765.0,5129.0,6792.0,4600.0,6251.0,6123.0,5473.0,5005.0,3458.0
specify-dsl-bdd,20.0,34.0,38.0,23.0,27.0,32.0,40.0,28.0,78.0,54.0,20.0,26.0,28.0,34.0
mongorestgen,21.0,7.0,15.0,11.0,4.0,6.0,13.0,9.0,1.0,16.0,10.0,4.0,11.0,1.0
asset-server-client,36.0,23.0,54.0,20.0,11.0,27.0,20.0,117.0,35.0,179.0,20.0,6.0,39.0,2.0
sulu-file-system-view-preview,10.0,11.0,9.0,12.0,4.0,4.0,12.0,9.0,10.0,22.0,11.0,5.0,6.0,1.0
react2tree,21.0,11.0,10.0,8.0,5.0,9.0,11.0,19.0,14.0,20.0,12.0,10.0,5.0,6.0
op-arcade-sdk,11.0,24.0,14.0,14.0,7.0,11.0,15.0,9.0,1.0,19.0,16.0,8.0,10.0,1.0
Accessor_MongoDB,57.0,35.0,69.0,74.0,57.0,47.0,38.0,133.0,52.0,153.0,38.0,25.0,32.0,1.0
airbnb-style,5300.0,7528.0,6588.0,5962.0,6503.0,6614.0,5338.0,8336.0,7983.0,6454.0,5473.0,4662.0,7574.0,5848.0
lowdb-api,25.0,9.0,18.0,16.0,13.0,13.0,15.0,10.0,9.0,18.0,15.0,8.0,7.0,2.0
mq-sass,564.0,402.0,691.0,457.0,473.0,312.0,353.0,352.0,352.0,339.0,362.0,154.0,207.0,220.0
weui-react,10.0,9.0,8.0,10.0,6.0,6.0,14.0,8.0,3.0,15.0,5.0,7.0,5.0,4.0
avocado-dashboard-satellite,14.0,13.0,9.0,7.0,4.0,7.0,15.0,6.0,6.0,46.0,10.0,6.0,5.0,2.0
async-await-mutex-lock,3941.0,4497.0,5198.0,6889.0,9318.0,10968.0,12323.0,12568.0,10429.0,12577.0,10167.0,12213.0,9546.0,6428.0
lightscript-eslint,48.0,17.0,63.0,35.0,17.0,10.0,34.0,19.0,7.0,46.0,20.0,21.0,33.0,29.0
telegraf-i18next,0.0,0.0,0.0,0.0,151.0,50.0,32.0,45.0,49.0,58.0,43.0,27.0,42.0,10.0
terminal-url-print,6.0,11.0,12.0,16.0,32.0,4.0,14.0,4.0,4.0,15.0,21.0,11.0,10.0,4.0
lux-less-framework,14.0,8.0,15.0,8.0,7.0,5.0,11.0,5.0,2.0,20.0,15.0,12.0,6.0,3.0
ember-bootstrap-colorpicker,15.0,4.0,10.0,8.0,4.0,19.0,11.0,5.0,4.0,17.0,8.0,4.0,6.0,8.0
level-user,23.0,17.0,22.0,17.0,4.0,13.0,11.0,7.0,8.0,28.0,21.0,8.0,18.0,4.0
node-cli-toolkit,20.0,12.0,13.0,12.0,6.0,6.0,7.0,6.0,4.0,15.0,7.0,3.0,5.0,1.0
rematrix,207209.0,221210.0,252778.0,245540.0,231637.0,222470.0,224742.0,265321.0,240436.0,239575.0,211235.0,202214.0,264309.0,214184.0
websocket-game-lobby,67.0,35.0,58.0,30.0,42.0,45.0,44.0,8.0,25.0,60.0,41.0,6.0,24.0,40.0
date-adder,29.0,8.0,20.0,18.0,8.0,7.0,17.0,7.0,5.0,25.0,25.0,8.0,13.0,1.0
configme,19.0,7.0,12.0,10.0,6.0,11.0,9.0,11.0,13.0,44.0,8.0,2.0,4.0,1.0
rnfui,24.0,15.0,23.0,22.0,7.0,25.0,15.0,3.0,11.0,36.0,15.0,12.0,14.0,1.0
n8n-nodes-google-sheets-trigger,67.0,226.0,167.0,55.0,32.0,17.0,31.0,44.0,15.0,49.0,38.0,65.0,51.0,6.0
whoisx-vue2-tap,8.0,11.0,3.0,10.0,6.0,6.0,7.0,4.0,3.0,17.0,5.0,1.0,6.0,2.0
redreq,9.0,4.0,4.0,7.0,6.0,11.0,7.0,5.0,1.0,14.0,17.0,1.0,7.0,2.0
simpleble,28.0,35.0,36.0,31.0,21.0,7.0,32.0,12.0,12.0,25.0,15.0,10.0,14.0,3.0
int-to-streak,19.0,7.0,19.0,14.0,5.0,10.0,11.0,6.0,7.0,23.0,14.0,5.0,7.0,1.0
dropship-whmcs,21.0,12.0,17.0,18.0,4.0,12.0,10.0,10.0,3.0,25.0,24.0,13.0,25.0,6.0
bclw3j,7.0,5.0,6.0,5.0,2.0,5.0,11.0,17.0,4.0,23.0,11.0,22.0,58.0,15.0
motzkin,15.0,7.0,11.0,8.0,5.0,5.0,10.0,6.0,2.0,12.0,9.0,7.0,8.0,1.0
cistercian-numerals,23.0,11.0,35.0,33.0,28.0,14.0,25.0,11.0,16.0,80.0,15.0,24.0,15.0,6.0
scrumy-api,9.0,3.0,6.0,5.0,2.0,8.0,6.0,2.0,3.0,7.0,5.0,6.0,4.0,2.0
hubot-pingpong,28.0,12.0,32.0,16.0,11.0,6.0,21.0,9.0,6.0,28.0,23.0,4.0,9.0,1.0
canvas-arrow,39.0,18.0,26.0,24.0,23.0,39.0,55.0,36.0,15.0,50.0,7.0,10.0,16.0,3.0
imgcache.js,1856.0,2081.0,2126.0,1242.0,1432.0,1478.0,1053.0,637.0,636.0,598.0,411.0,332.0,425.0,250.0
josi-state,8.0,8.0,7.0,7.0,4.0,6.0,7.0,4.0,1.0,8.0,8.0,5.0,3.0,2.0
seaworthy,12.0,5.0,6.0,6.0,2.0,8.0,8.0,3.0,3.0,5.0,4.0,2.0,7.0,2.0
think-loader,3676.0,3254.0,3935.0,3538.0,3542.0,2997.0,2970.0,3318.0,2573.0,3260.0,2986.0,3394.0,3157.0,2894.0
tweed-ecs,11.0,8.0,10.0,14.0,4.0,10.0,8.0,10.0,8.0,15.0,9.0,6.0,7.0,1.0
canada-api,42.0,40.0,204.0,79.0,66.0,70.0,48.0,30.0,20.0,238.0,8.0,20.0,24.0,1.0
probot-projects,7.0,7.0,3.0,8.0,3.0,6.0,6.0,4.0,3.0,9.0,8.0,3.0,7.0,1.0
iai-flow,11.0,6.0,7.0,6.0,5.0,16.0,10.0,8.0,8.0,16.0,9.0,5.0,6.0,2.0
jquery-github,9.0,6.0,11.0,6.0,9.0,6.0,8.0,5.0,3.0,7.0,11.0,5.0,2.0,1.0
metamorphosis,0.0,0.0,0.0,0.0,0.0,0.0,420.0,55.0,20.0,18.0,19.0,4.0,14.0,3.0
everything-store,103.0,57.0,63.0,25.0,3.0,10.0,20.0,8.0,8.0,23.0,11.0,11.0,16.0,10.0
