git_repository,total_commits,avg_commits_per_day,last_commit_before_months,git_unique_contributors,github_forks,github_stars,open_PRs,merged_PRs,open_issues,resolved_issues,version_release_frequency_months,version_release_frequency_years,LOC,total_lines_added,total_lines_deleted,lines_added_one_and_half_year,lines_deleted_one_and_half_year,readme_updated,SLOC_JS,SLOC_TS,CC
https://github.com/lodash/lodash,8014,1.54,1,335,6900,58600,22,1369,40,4180,1.45,17.63,229410,822728,782889,43703,41971,True,1207,5160,0
https://github.com/harsh-vishnoi/Zomato_API,11,1.22,57,1,1,1,0,0,0,0,0,0,542,1153,196,0,0,False,439,0,20
https://github.com/loudbinary/jira-issue-finder,6,3.0,76,2,0,0,0,0,0,0,0,0,330,1604,55,0,0,False,281,0,47
https://github.com/zastavnitskiy/jest-nightwatch,44,2.2,71,2,1,4,0,3,0,0,0,0,351,10640,1435,0,0,False,286,0,7
https://github.com/AnandChowdhary/a11yisimportant,1305,2.24,41,10,0,6,46,650,0,0,0,0,0,20316,12884,0,0,False,0,333,0
https://github.com/gpittarelli/babel-plugin-transform-resolve-wildcard-import,13,0.02,63,1,2,1,1,0,0,0,0,0,101,322,20,0,0,False,83,0,19
https://github.com/mdwp/scrivito-piechart,10,0.01,28,4,0,0,7,22,0,0,0,0,200,8930,1063,0,0,False,164,0,3
https://github.com/broucz/react-embed-code,2,2.0,103,2,1,1,0,0,0,0,0,0,247,439,1,0,0,False,216,0,2
https://github.com/dnode/dqrcodes,3,0.06,95,1,0,0,0,0,0,0,0,0,17,62,4,0,0,False,14,0,2
https://github.com/jdpanderson/rhom,119,0.14,95,3,0,7,0,5,0,0,1.88,22.81,1461,5332,2375,0,0,False,1714,0,297
https://github.com/chrisvogt/gtlds,4,0.01,44,1,0,2,0,3,0,0,0.14,1.74,48,271,54,0,0,False,39,0,3
https://github.com/npm/deprecate-holder,3,3.0,91,2,35,27,13,1,0,0,0,0,0,25,1,0,0,False,0,0,0
https://github.com/ionic-team/stencil-component-starter,134,0.06,0,31,124,270,6,58,4,65,0,0,26362,61803,61344,28,24,True,0,107,0
https://github.com/DataTables/Dist-DataTables-RowGroup,145,0.06,0,4,3,4,0,0,0,0,0.18,2.19,489,3663,2326,1158,797,False,494,34,129
https://github.com/irfanhabib/youtube-castv2-client,14,0.02,85,2,6,7,0,1,0,0,0,0,306,519,117,0,0,False,234,0,18
https://github.com/MaxvandeLaar/DeAfvalApp-api-proxy,29,2.9,74,1,0,0,0,0,0,0,25.0,304.17,509,2783,234,0,0,False,396,0,20
https://github.com/cornflourblue/jw-angular-pagination,9,0.01,45,2,34,35,24,11,7,5,0,0,686,24796,8405,0,0,False,29,56,404
https://github.com/DevAashishCodes/sqlite-electron,3,3.0,23,1,0,0,0,0,0,0,0,0,24,3266,0,0,0,False,24,0,0
https://github.com/melvinlee720/rn-mta,33,1.5,46,2,1,0,0,0,0,0,0,0,220,2295,285,0,0,False,140,0,11
https://github.com/DanielYKPan/date-time-picker,233,0.23,54,6,353,562,37,51,196,509,0,0,1883,81800,53383,0,0,False,80,5585,0
https://github.com/domgom/json-i18n-comparator,8,8.0,115,2,0,1,0,0,0,0,0,0,73,2474,12,0,0,False,52,0,12
https://github.com/pxpcandy/KekkerScript,58,0.83,30,3,0,1,0,0,0,0,0,0,1061,2073,1101,0,0,False,675,0,127
https://github.com/cocaine-coder/ts-dxf,9,0.08,26,2,0,0,0,0,0,0,0,0,0,462241,148723,0,0,False,0,1447,0
https://github.com/cczw2010/vite-plugin-vue-mixins,3,1.5,15,1,0,1,0,0,0,0,0,0,142,231,17,231,17,True,98,0,31
https://github.com/oktntko/doter,56,0.28,15,2,0,2,0,0,0,0,4.19,50.93,4,25925,7500,4759,3069,False,3,4727,0
https://github.com/Rajdeepc/react-fblike-loader,7,7.0,45,1,0,0,0,0,0,0,0,0,22,261,23,0,0,False,14,0,2
https://github.com/jmquigley/util.markup,14,0.06,51,1,1,0,0,0,0,0,1.08,13.14,66,12916,2889,0,0,False,60,503,0
https://github.com/ghinks/ls-remote-versions,336,0.22,21,4,0,1,16,122,2,2,0.98,11.97,323,125070,91333,0,0,False,85,0,10
https://github.com/jasonHzq/redux-saga-sugar,63,0.16,77,3,5,79,0,1,0,0,0,0,225,3142,298,0,0,False,188,0,33
https://github.com/relevize/vue-paginate,65,0.04,47,6,0,0,0,0,0,0,0.45,5.45,1884,37845,20451,0,0,False,1754,0,112
https://github.com/Rahim-Chan/action-demo,64,1.16,53,5,0,0,0,1,0,2,4.53,55.09,4,325,215,0,0,False,3,0,0
https://github.com/miztroh/wysiwyg-e,13,0.52,2,1,0,1,0,0,0,0,0,0,4806,6734,251,6734,251,True,4061,0,737
https://github.com/cellsjs/generator-component-cells,208,0.42,88,11,5,3,0,9,1,0,4.62,56.15,1271,5760,4002,0,0,False,452,0,46
https://github.com/polygonplanet/lzbase62,137,0.04,8,2,8,56,1,31,0,3,0.24,2.92,1908,19494,7525,7863,4828,True,999,0,130
https://github.com/jonschlinkert/markdown-slug,4,4.0,85,1,2,6,0,0,0,0,0,0,54,534,8,0,0,False,35,0,12
https://github.com/MichaelGuldborg/redux-rest,23,0.21,36,2,0,0,0,0,0,0,0,0,0,3551,1602,0,0,False,0,981,0
https://github.com/Pinelab-studio/pinelab-vendure-plugins,2093,2.11,0,22,35,87,2,276,9,86,9.73,118.36,17,805823,750125,524687,618983,True,5,33590,0
https://github.com/codejamninja/generator-editorconf,28,0.01,7,5,0,1,3,8,0,0,0,0,132,8245,7427,1,0,True,121,0,5
https://github.com/bammoo/mpa-component-example-loader,1,1.0,96,1,0,0,0,0,0,0,0,0,0,23,0,0,0,False,0,0,0
https://github.com/inerciacreativa/redukt,107,0.05,10,1,0,2,5,12,0,0,0.46,5.56,4147,75657,65203,3285,5101,False,1686,0,137
https://github.com/fund3/CommunicationProtocol,199,0.42,56,12,1,0,0,47,0,2,0,0,0,2789,2025,0,0,False,0,0,0
https://github.com/ifiokjr/gatsby-plugin-next-seo,109,0.09,8,15,19,195,15,56,10,14,0.38,4.59,425,45431,9702,95,6,False,378,4621,0
https://github.com/peping/styled-jsx,290,0.44,66,42,0,0,0,1,0,0,3.45,42.02,2425,41513,21232,0,0,False,3590,0,256
https://github.com/edenstrom/gatsby-source-teamtailor2,16,0.08,45,2,0,1,25,11,0,0,0,0,1,16972,2883,0,0,False,0,402,0
https://github.com/readmeio/remove-undefined-objects,111,0.15,1,5,0,0,3,105,0,0,0.5,6.04,16,35495,26453,16354,22010,True,0,67,0
https://github.com/diamondio/object-profiler,6,2.0,91,1,1,0,0,0,0,0,0,0,93,122,10,0,0,False,82,0,11
https://github.com/fukuiretu/nuxt-user-agent,32,0.06,54,6,14,124,4,25,5,9,3.46,42.12,304,5698,5709,0,0,False,96,266,0
https://github.com/yuezhi86/domeui-vue3,23,1.92,28,1,0,0,0,0,0,0,0,0,59,14441,793,0,0,False,58,80,0
https://github.com/dilas12345/microservice-server-routes,1,1.0,56,1,0,0,0,0,0,0,0,0,413400,760876,0,0,0,False,483,0,92418
https://github.com/yhattm/weizhen,61,0.59,14,3,0,0,10,61,0,0,0,0,0,8002,1474,8002,1474,True,5,116,0
https://github.com/tinacious/jquery-navigator-vibrate,35,35.0,46,1,1,1,2,0,1,0,0,0,119,8963,7382,0,0,False,119,141,0
https://github.com/YouzheJ/file_IO,2,2.0,80,2,0,0,0,0,0,0,0,0,82,208,0,0,0,False,127,0,4
https://github.com/preyneyv/legacy-app-server-cli,19,0.04,57,1,0,0,2,0,0,0,0,0,165,6279,817,0,0,False,144,0,15
https://github.com/mahmoud-mamdouh-matwaly/cus-ui-components,18,0.14,2,1,0,0,0,8,0,0,0,0,89,51393,40,51393,40,True,84,1880,0
https://github.com/matthew-andrews/superstore,113,0.12,98,9,6,13,0,10,0,3,0.71,8.69,558,1774,1329,0,0,False,82,0,4
https://github.com/mkg20001/parcel-plugin-strip-index-html,9,0.03,55,1,1,2,0,0,0,0,0.33,4.03,82,167,23,0,0,False,61,0,10
https://github.com/turingou/beer,12,0.04,120,1,1,2,0,0,0,0,0,0,136,722,320,0,0,False,49,0,0
https://github.com/2234839/fetch-proxy,7,7.0,34,1,0,1,0,0,0,0,0,0,40,7883,64,0,0,False,35,95,0
https://github.com/leakypixel/captain-githook,41,0.02,39,1,0,0,0,1,0,3,0.18,2.22,195,703,184,0,0,False,166,0,25
https://github.com/thejimmyg/bootstrap-flexbox-overlay,8,0.89,61,1,0,0,0,0,0,0,0,0,989,10507,3327,0,0,False,57,0,1131
https://github.com/mpowell-atomic/vue-notification-renderless,92,0.09,32,4,0,4,22,27,0,0,0,0,135,54477,38392,0,0,False,83,0,8
https://github.com/bahrus/be-functional,67,0.08,1,1,0,0,0,0,0,0,0,0,89,12898,10475,7027,6810,True,64,110,5
https://github.com/FZJ-INM1-BDA/hbp-fluentd-logger,5,0.0,3,1,0,0,0,0,0,0,0,0,48,586,8,4,0,True,43,0,6
https://github.com/bruth/synapse,141,0.17,127,4,6,150,0,3,10,23,0.87,10.58,36059,65856,30110,0,0,False,19993,0,0
https://github.com/gabfusi/chepollo,13,0.57,99,1,0,2,0,0,0,0,0,0,1035,1502,108,0,0,False,649,0,66
https://github.com/elitechance/ng-analytics,4,4.0,78,1,0,0,0,0,0,0,0,0,17,2849,60,0,0,False,17,400,0
https://github.com/margarito/ng-db-helper,27,0.1,73,2,3,5,0,0,2,0,0,0,138,40986,12842,0,0,False,125,571,760
https://github.com/derrickwest/config-monitor,24,0.34,125,3,2,2,1,5,0,0,0,0,402,1190,410,0,0,False,175,0,22
https://github.com/isaacs/node-mkdirp,148,0.03,5,13,42,173,0,12,0,32,0.22,2.67,297,13222,6354,7057,4982,False,14,928,0
https://github.com/dmnsgn/less-font-face,7,0.16,107,2,0,1,0,0,0,0,1.4,16.98,0,1953,3,0,0,False,0,0,0
https://github.com/gkovacs/yamlfile,2,2.0,109,1,0,0,0,0,0,0,0,0,22,107,3,0,0,False,21,0,4
https://github.com/jgchenu/sun-react-ui,122,0.15,19,2,1,7,5,13,0,0,1.66,20.14,841,83176,64843,0,0,False,286,1206,10
https://github.com/mysticatea/run-all,5,5.0,109,2,0,2,0,0,0,0,0,0,83,290,6,0,0,False,105,0,11
https://github.com/shijin-nath/ios-in-app-receipt-verify,2,2.0,34,2,0,0,0,0,0,0,0,0,0,12906,0,0,0,False,0,43,0
https://github.com/liumapp/timer-btn,30,2.5,64,2,0,2,0,0,0,0,18.0,219.0,13,1322,386,0,0,False,1,0,0
https://github.com/maxboeck/eleventy-plugin-share-highlight,17,4.25,35,1,0,8,0,0,1,0,0,0,176,4447,822,0,0,False,153,0,14
https://github.com/far11ven/bycons,1,1.0,51,1,0,0,0,0,0,0,0,0,0,61,0,0,0,False,0,0,0
https://github.com/azer/most-common-words,3,3.0,113,1,0,1,0,0,0,0,0,0,109,147,3,0,0,False,109,0,0
https://github.com/webdriverio/webdriverio,6754,2.96,0,616,2400,8700,13,6584,148,5069,8.95,108.9,10111,1326284,954492,654321,460658,True,3197,49355,183
https://github.com/gerhardberger/node-touch,3,0.13,128,1,0,0,0,0,0,0,0,0,172,605,237,0,0,False,180,0,41
https://github.com/madhurjain/passport-local-sequelize,49,0.01,6,13,49,80,9,27,9,17,0.44,5.37,340,5493,550,4610,258,False,277,0,72
https://github.com/steveify1/service-manager,17,0.19,39,1,0,0,0,4,0,10,0,0,661,6663,414,0,0,False,298,390,0
https://github.com/AlexWang1987/wpb,69,0.11,74,2,0,2,0,0,0,0,0,0,238,675,350,0,0,False,156,0,29
https://github.com/adonisCuba/vue-business-hours,44,0.03,2,6,0,0,0,0,0,0,0.76,9.21,824,25663,6544,42,42,True,449,0,70
https://github.com/11ways/create-alchemy,2,0.0,12,2,0,0,0,0,0,0,0,0,186,404,98,194,98,True,132,0,12
https://github.com/uport-project/daf,1853,1.18,0,56,120,387,8,761,61,369,1.15,13.98,937,666991,535752,179179,124207,True,108,31616,4
https://github.com/Kladdkaka/aftonbladet-links,8,0.02,64,3,0,0,0,1,0,0,0,0,160,544,125,0,0,False,106,0,8
https://github.com/rhdeck/react-native-coreml,46,0.11,63,2,6,34,0,1,6,0,0,0,175,9108,8114,0,0,False,170,84,27
https://github.com/icarcal/pomodoro-cli,35,0.02,25,5,2,4,8,11,1,1,0.2,2.47,191,4205,554,0,0,False,150,0,10
https://github.com/prisma/serverless-plugin-typescript,198,0.09,9,33,216,771,22,139,92,50,0.34,4.11,0,9244,6808,518,35,False,0,493,0
https://github.com/strarsis/arr-group,8,0.27,100,1,0,0,0,0,0,0,0,0,48,162,2,0,0,False,38,0,9
https://github.com/relair/material-dynamic-table,48,0.03,8,2,20,39,1,39,5,19,0.26,3.17,90,136944,108966,95277,86588,True,80,1050,0
https://github.com/NoHop3/cra-template-stg,63,1.15,3,3,0,2,13,35,0,1,6.67,81.11,38,56513,30092,56513,30092,True,19,3965,0
https://github.com/GoogleChrome/net-chromeify,20,0.05,124,3,15,40,0,2,2,0,0,0,8368,20322,67,0,0,False,5875,0,2472
https://github.com/WEGnology/wegnology-rest-js,8,0.01,4,4,1,0,5,9,0,0,0.11,1.4,377729,883505,568175,73321,44166,False,10622,0,4800
https://github.com/homeranil/run-express-api,6,0.07,41,2,0,0,0,1,0,1,0,0,45,101,15,0,0,False,39,0,0
https://github.com/samplifyio/samslacker-node,9,0.01,31,2,0,0,3,2,0,0,0,0,142,4658,3057,0,0,False,118,0,11
https://github.com/WilsontheWolf/bluefox-info-client,1,1.0,40,1,1,0,0,0,0,0,0,0,37,215,0,0,0,False,14,0,5
https://github.com/ymzuiku/serral,68,2.0,64,2,0,1,0,0,0,0,0,0,856,2075,285,0,0,False,768,0,226
